"","V1","V2","V3","V4","V5","V6"
"1","0","0","0","0","0","0"
"2","0","0","0","0","0","0"
"3","0","0","0","0","0","0"
"4","0","0","0","0","0","0"
"5","0","0","0","0","0","0"
"6","0","0","0","0","0","0"
"7","0","0","0","0","0","0"
"8","0","0","0","0","0","0"
"9","Akron","Ohio","2","2"," H 4 A 3 H -5 A 17 A -27"," H -10 H -12 H -17 A 24 A 44"
"10","Alabama-Birmingham","Montana State","28","2","",""
"11","San Diego State","Arizona","-13","2"," A 28"," H 17"
"12","0","0","0","0","0","0"
"13","Central Michigan","Eastern Kentucky","14","2","",""
"14","Vanderbilt","Middle Tennessee State","-9","2","",""
"15","Northern Illinois","South Florida","3","2","",""
"16","Buffalo","Rutgers","-16","2"," A -17"," H -1"
"17","Temple","Navy","19","2"," H -26 A 13 H 25"," A 1 H -17 A 6"
"18","Toledo","Minnesota","31","2","",""
"19","Tulsa","Indiana State","51","2","",""
"20","Washington State","Idaho","29","2"," A -27"," A 7"
"21","Western Michigan","Illinois State","41","2","",""
"22","Auburn","Ball State","30","2","",""
"23","Boston College","West Virginia","24","2"," H 13 A 14 H 4 H -11 A -31"," H -3 H -35 A 10 A 42 H 73"
"24","Missouri","Bowling Green State","-7","2","",""
"25","Brigham Young","Nevada","45","2"," A -4 H 22"," H -15 A 17"
"26","Clemson","Central Florida","8","2","",""
"27","0","0","0","0","0","0"
"28","Eastern Michigan","Southeast Missouri State","4","2","",""
"29","Florida","Marshall","35","2","",""
"30","Duke","Florida State","-42","2"," A 21 H -7 A 42 H -24 A 35"," A -36 H 24 H 21 H -6 A 32"
"31","Georgia","Arkansas State","28","2"," A -20"," H -18"
"32","Georgia Tech","Citadel","28","2","",""
"33","California","Illinois","-27","2","",""
"34","Iowa","Kent State","51","2","",""
"35","Kansas","Missouri State","14","2","",""
"36","Louisiana State","Tulane","31","2","",""
"37","0","0","0","0","0","0"
"38","Louisiana-Lafayette","Nicholls State","20","2","",""
"39","Kentucky","Louisville","-26","2","",""
"40","Maryland","North Carolina","16","2"," A -7 H 20 A -3 H 42 A 21 H 17"," H -1 H 6 A 7 H 35 H 32 A -35"
"41","Penn State","Miami (FL)","-26","2","",""
"42","Michigan","Miami (OH)","18","2"," H 17 A -6"," H 14 A 25"
"43","Mississippi","Murray State","35","2","",""
"44","Nebraska","Troy","28","2","",""
"45","New Mexico","Texas-El Paso","20","2","",""
"46","Air Force","Oklahoma","-41","2","",""
"47","Oregon","Wisconsin","3","2","",""
"48","Pittsburgh","East Tennessee State","31","2","",""
"49","Houston","Rice","-7","2","",""
"50","Louisiana-Monroe","Sam Houston State","-11","2","",""
"51","South Carolina","Boise State","19","2","",""
"52","Southern California","San Jose State","11","2"," H 31"," A 38"
"53","Southern Mississippi","Oklahoma State","8","2","",""
"54","Tennessee","Syracuse","24","2","",""
"55","Texas","New Mexico State","34","2","",""
"56","Texas A&amp;M","McNeese State","14","2","",""
"57","North Texas","Texas Christian","-14","2","",""
"58","Alabama","UCLA","-3","2","",""
"59","Utah","Utah State","4","2"," A 14 H 31 H 35 A 3"," H -17 A 21 H -1 A 20"
"60","Virginia","Richmond","1","2","",""
"61","Virginia Tech","Connecticut","42","2"," A -50"," A -1"
"62","East Carolina","Wake Forest","-2","2"," A 3"," A -1"
"63","Wyoming","Furman","6","2","",""
"64","Fresno State","Oregon State","20","2","",""
"65","Cincinnati","Purdue","-5","2","",""
"66","Mississippi State","Memphis","20","2","",""
"67","0","0","0","0","0","0"
"68","North Carolina State","Indiana","21","3","",""
"69","Wyoming","Texas A&amp;M","-8","3","",""
"70","Nevada-Las Vegas","Northwestern","-9","3","",""
"71","Air Force","Tennessee Tech","42","3","",""
"72","Vanderbilt","Alabama","-3","3"," A 32 A 38"," A 1 H -11"
"73","Arizona","Idaho","7","3"," H -27 A 3"," A 29 A 50"
"74","Arizona State","San Diego State","31","3"," H -13"," H -13"
"75","Auburn","Mississippi","6","3"," H 2 A 25 A -7 H -24"," A 8 H -2 H -20 H 3"
"76","Baylor","Arkansas State","21","3","",""
"77","Bowling Green State","Buffalo","35","3"," A 6 H 17 H -3 A -17"," H -20 A 22 A 17 H 44"
"78","California","Brigham Young","-28","3","",""
"79","Army","Cincinnati","-3","3"," A 52 H 14 H -23 H 7"," A -14 A -1 H -2 H 13"
"80","Clemson","Wofford","24","3","",""
"81","Colorado","San Jose State","36","3","",""
"82","Colorado State","Nevada","17","3"," H -3 A -2 A 22"," H -47 H -15 A 45"
"83","Tulane","East Carolina","-27","3"," A 13 H 26 A 7 H -45"," A -2 A -7 A -23 H -5"
"84","Connecticut","Eastern Washington","-18","3","",""
"85","Florida","Louisiana-Monroe","49","3","",""
"86","Florida State","Alabama-Birmingham","22","3","",""
"87","Wisconsin","Fresno State","-12","3","",""
"88","Navy","Georgia Tech","-63","3","",""
"89","0","0","0","0","0","0"
"90","Illinois","Northern Illinois","5","3","",""
