Model,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
CPA,15,18,15,20,20.97,23,24,20,22,24,23,20,20,30,21.63,316.6
ARG,15,19,16,16,24,19.34,15,21,23,22,23,19,21,32,22,307.34
KLK,14.54,17.74,18,15,20,24,19,23,22,24,23,20,19,27,21,307.28
BAS,11,18,20,18,18,19,24,14,22,21,22,22,22,32,24,307
DP,14.48,19,15,14,21,22,19,21,23,22,24,19,20,26,25,304.48
LAZ,14.52,20,16,16,21,20,18,17,22,22.02,22,19,24,29,21,301.54
DUN,14,17,15.64,17,20.37,18,24,16,24,24,20,17,21,29,23,300.01
DWI,15,18,19,21,21,18,17,17.62,23,21,21,19,17,27.99,23,298.61
DOK,14.39,19,16,14,20,19,15,17,23,23,23,19,21,31,24,298.39
CGV,14.3,19,18,16,19,17,15,18,22,25,20,16,25,29,22,295.3
BOB,14.31,18,13,17,20,22,19,17,22,20,22,20,21,29,20.76,295.07
KEE,14.2,17.32,18,14,21,20,19,18,21,22,22,17,21,25,22,291.52
MAU,13,19,17,15,20,17,17,20,21,22,20,21,21,26.25,20.42,289.67
CPR,14,18,17,18,19.91,18,16,19,20,20,19,24,19,27,20.54,289.45
RUD,14,18,15,15,21,19,16.55,16,22,23,20,21,23,24,21,288.55
MCK,16,21,22,16,20,20,15,14,19,21,19,18.81,21.22,25,18,286.03
MAA,14.09,15,15,17,23,19,17,15,20,23,17,21,23,26,20.43,285.52
JNK,13.95,17.02,16,15,21,19,16,18,21,21,20,16,22,30,18,283.97
CMV,14.12,17.22,19,17,19,19,18,14,17,25,21,21,18,23,21,283.34
GBE,13.98,17.06,16,15,23,19,13,16,20,23,19,15,26,28,19,283.04
MEA,16,16,16,16,22,18,17,15,19,21,18,20,22,26,20.36,282.36
SE,14,18,13,16,20,20,15,17,21,23,16,20,23,25.96,20.2,282.16
D1A,13.8,16.84,16,14,22,20,14,17,21,24,16,16,22,24,21,277.64
SOR,14,18,15,15,20,20,17,15,19,22,18,18.25,21,22,21,275.25
