Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Aug 26 2016,10:00 PM,California,51,,Hawaii,31,X
2,2,Sep 1 2016,7:00 PM,Central Michigan,49,,Presbyterian,3,
3,2,Sep 1 2016,7:00 PM,Cincinnati,28,,Tennessee-Martin,7,
4,2,Sep 1 2016,7:00 PM,Connecticut,24,,Maine,21,
5,2,Sep 1 2016,9:00 PM,Idaho,20,,Montana State,17,
6,2,Sep 1 2016,7:30 PM,Indiana,34,@,Florida International,13,
7,2,Sep 1 2016,7:00 PM,(19) Louisville,70,,Charlotte,14,
8,2,Sep 1 2016,9:00 PM,Minnesota,30,,Oregon State,23,
9,2,Sep 1 2016,10:00 PM,Nevada-Las Vegas,63,,Jackson State,13,
10,2,Sep 1 2016,7:30 PM,North Carolina State,48,,William & Mary,14,
11,2,Sep 1 2016,8:00 PM,South Carolina,13,@,Vanderbilt,10,
Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
12,2,Sep 1 2016,7:30 PM,(9) Tennessee,20,,Appalachian State,13,
13,2,Sep 1 2016,8:00 PM,Utah,24,,Southern Utah,0,
14,2,Sep 1 2016,8:00 PM,Utah State,45,,Weber State,6,
15,2,Sep 1 2016,7:00 PM,Wake Forest,7,,Tulane,3,
16,2,Sep 1 2016,8:00 PM,Western Kentucky,46,,Rice,14,
17,2,Sep 2 2016,7:00 PM,Albany,22,@,Buffalo,16,
18,2,Sep 2 2016,7:00 PM,Army,28,@,Temple,13,
19,2,Sep 2 2016,7:00 PM,Ball State,31,@,Georgia State,21,
20,2,Sep 2 2016,7:30 PM,(23) Baylor,55,,Northwestern State,7,
21,2,Sep 2 2016,8:00 PM,Colorado,44,,Colorado State,7,X
22,2,Sep 2 2016,6:00 PM,Eastern Michigan,61,,Mississippi Valley State,14,
23,2,Sep 2 2016,7:00 PM,(12) Michigan State,28,,Furman,13,
24,2,Sep 2 2016,9:30 PM,Nevada,30,,Cal Poly,27,
25,2,Sep 2 2016,9:00 PM,(8) Stanford,26,,Kansas State,13,
26,2,Sep 2 2016,7:00 PM,Syracuse,33,,Colgate,7,
27,2,Sep 2 2016,9:00 PM,Toledo,31,@,Arkansas State,10,
28,2,Sep 3 2016,2:00 PM,Air Force,37,,Abilene Christian,21,
29,2,Sep 3 2016,6:30 PM,Akron,47,,Virginia Military Institute,24,
30,2,Sep 3 2016,8:00 PM,(1) Alabama,52,,(20) Southern California,6,x
31,2,Sep 3 2016,11:00 PM,Arizona State,44,,Northern Arizona,13,
32,2,Sep 3 2016,4:00 PM,Arkansas,21,,Louisiana Tech,20,
33,2,Sep 3 2016,12:00 PM,Boise State,45,@,Louisiana-Lafayette,10,
34,2,Sep 3 2016,10:30 PM,Brigham Young,18,,Arizona,16,x
35,2,Sep 3 2016,7:00 PM,Central Florida,38,,South Carolina State,0,
36,2,Sep 3 2016,9:00 PM,(2) Clemson,19,@,Auburn,13,
37,2,Sep 3 2016,6:00 PM,Duke,49,,North Carolina Central,6,
38,2,Sep 3 2016,6:00 PM,East Carolina,52,,Western Carolina,7,
39,2,Sep 3 2016,8:00 PM,Eastern Washington,45,@,Washington State,42,
40,2,Sep 3 2016,7:30 PM,(25) Florida,24,,Massachusetts,7,
41,2,Sep 3 2016,6:00 PM,Florida Atlantic,38,,Southern Illinois,30,
42,2,Sep 3 2016,5:30 PM,(18) Georgia,33,,(22) North Carolina,24,x
43,2,Sep 3 2016,6:00 PM,Georgia Southern,54,,Savannah State,0,
44,2,Sep 3 2016,7:30 AM,Georgia Tech,17,,Boston College,14,x
45,2,Sep 3 2016,12:00 PM,(15) Houston,33,,(3) Oklahoma,23,x
46,2,Sep 3 2016,3:30 PM,Illinois,52,,Murray State,3,
47,2,Sep 3 2016,3:30 PM,(17) Iowa,45,,Miami (OH),21,
48,2,Sep 3 2016,7:00 PM,Kansas,55,,Rhode Island,6,
49,2,Sep 3 2016,7:00 PM,Louisiana-Monroe,38,,Southern,21,
50,2,Sep 3 2016,12:00 PM,Maryland,52,,Howard,13,
51,2,Sep 3 2016,7:00 PM,Memphis,35,,Southeast Missouri State,17,
52,2,Sep 3 2016,6:00 PM,Miami (FL),70,,Florida A&amp;M,3,
53,2,Sep 3 2016,12:00 PM,(7) Michigan,63,,Hawaii,3,
54,2,Sep 3 2016,7:00 PM,Middle Tennessee State,55,,Alabama A&amp;M,0,
55,2,Sep 3 2016,12:00 PM,Navy,52,,Fordham,16,
56,2,Sep 3 2016,8:00 PM,Nebraska,43,,Fresno State,10,
57,2,Sep 3 2016,12:00 PM,New Mexico,48,,South Dakota,21,
58,2,Sep 3 2016,8:00 PM,Northern Iowa,25,@,Iowa State,20,
59,2,Sep 3 2016,12:00 PM,(6) Ohio State,77,,Bowling Green State,10,
60,2,Sep 3 2016,3:30 PM,(21) Oklahoma State,61,,Southeastern Louisiana,7,
61,2,Sep 3 2016,5:00 PM,(24) Oregon,53,,California-Davis,28,
62,2,Sep 3 2016,3:30 PM,Penn State,33,,Kent State,13,
63,2,Sep 3 2016,1:30 PM,Pittsburgh,28,,Villanova,7,
64,2,Sep 3 2016,12:00 PM,Purdue,45,,Eastern Kentucky,24,
65,2,Sep 3 2016,3:30 PM,Richmond,37,@,Virginia,20,
66,2,Sep 3 2016,8:30 PM,San Diego State,31,,New Hampshire,0,
67,2,Sep 3 2016,12:00 PM,South Alabama,21,@,Mississippi State,20,
68,2,Sep 3 2016,7:00 PM,South Florida,56,,Towson,20,
69,2,Sep 3 2016,7:00 PM,Southern Methodist,34,@,North Texas,21,
70,2,Sep 3 2016,7:30 PM,Southern Mississippi,44,@,Kentucky,35,
71,2,Sep 3 2016,3:30 PM,Texas A&amp;M,31,,(16) UCLA,24,
72,2,Sep 3 2016,8:00 PM,(13) Texas Christian,59,,South Dakota State,41,
73,2,Sep 3 2016,3:30 PM,Texas State,56,@,Ohio,54,
74,2,Sep 3 2016,8:00 PM,Texas Tech,69,,Stephen F. Austin,17,
75,2,Sep 3 2016,8:00 PM,Texas-El Paso,38,,New Mexico State,22,
76,2,Sep 3 2016,7:00 PM,Texas-San Antonio,26,,Alabama State,13,
77,2,Sep 3 2016,6:00 PM,Troy,57,,Austin Peay,17,
78,2,Sep 3 2016,7:00 PM,Tulsa,45,,San Jose State,10,
79,2,Sep 3 2016,12:30 PM,Virginia Tech,36,,Liberty,13,
80,2,Sep 3 2016,2:00 PM,(14) Washington,48,,Rutgers,13,
81,2,Sep 3 2016,12:00 PM,West Virginia,26,,Missouri,11,
82,2,Sep 3 2016,12:00 PM,Western Michigan,22,@,Northwestern,21,
83,2,Sep 3 2016,3:30 PM,Wisconsin,16,,(5) Louisiana State,14,x
84,2,Sep 3 2016,10:30 PM,Wyoming,40,,Northern Illinois,34,
85,2,Sep 4 2016,3:30 PM,Old Dominion,54,,Hampton,21,
86,2,Sep 4 2016,7:30 PM,Texas,50,,(10) Notre Dame,47,
