Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Aug 26 2017,Sat,Brigham Young,20,,Portland State,6,
2,1,Aug 26 2017,Sat,Colorado State,58,,Oregon State,27,
3,1,Aug 26 2017,Sat,Hawaii,38,@,Massachusetts,35,
4,1,Aug 26 2017,Sat,(19) South Florida,42,@,San Jose State,22,
5,1,Aug 26 2017,Sat,(14) Stanford,62,,Rice,7,X
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
6,2,Aug 31 2017,Thu,Arizona State,37,,New Mexico State,31,
7,2,Aug 31 2017,Thu,Arkansas,49,,Florida A&M,7,
8,2,Aug 31 2017,Thu,Central Michigan,30,,Rhode Island,27,
9,2,Aug 31 2017,Thu,Cincinnati,26,,Austin Peay,14,
10,2,Aug 31 2017,Thu,Connecticut,27,,Holy Cross,20,
11,2,Aug 31 2017,Thu,Idaho,28,,Sacramento State,6,
12,2,Aug 31 2017,Thu,Memphis,37,,Louisiana-Monroe,29,
13,2,Aug 31 2017,Thu,Minnesota,17,,Buffalo,7,
14,2,Aug 31 2017,Thu,(2) Ohio State,49,@,Indiana,21,
15,2,Aug 31 2017,Thu,Tennessee State,17,@,Georgia State,10,
16,2,Aug 31 2017,Thu,Toledo,47,,Elon,13,
17,2,Aug 31 2017,Thu,Utah,37,,North Dakota,16,
18,2,Aug 31 2017,Thu,Wake Forest,51,,Presbyterian,7,
19,2,Sep 1 2017,Fri,Army,64,,Fordham,6,
20,2,Sep 1 2017,Fri,Boston College,23,@,Northern Illinois,20,
21,2,Sep 1 2017,Fri,Colorado,17,,Colorado State,3,X
22,2,Sep 1 2017,Fri,Eastern Michigan,24,,Charlotte,7,
23,2,Sep 1 2017,Fri,Navy,42,@,Florida Atlantic,19,
24,2,Sep 1 2017,Fri,Syracuse,50,,Central Connecticut State,7,
25,2,Sep 1 2017,Fri,(8) Washington,30,@,Rutgers,14,
26,2,Sep 1 2017,Fri,(9) Wisconsin,59,,Utah State,10,
27,2,Sep 2 2017,Sat,Air Force,62,,Virginia Military Institute,0,
28,2,Sep 2 2017,Sat,(1) Alabama,24,,(3) Florida State,7,X
29,2,Sep 2 2017,Sat,Alabama-Birmingham,38,,Alabama A&M,7,
30,2,Sep 2 2017,Sat,Arizona,62,,Northern Arizona,24,
31,2,Sep 2 2017,Sat,(12) Auburn,41,,Georgia Southern,7,
32,2,Sep 2 2017,Sat,Boise State,24,,Troy,13,
33,2,Sep 2 2017,Sat,California,35,@,North Carolina,30,
34,2,Sep 2 2017,Sat,Central Florida,61,,Florida International,17,
35,2,Sep 2 2017,Sat,(5) Clemson,56,,Kent State,3,
36,2,Sep 2 2017,Sat,Coastal Carolina,38,,Massachusetts,28,
37,2,Sep 2 2017,Sat,Duke,60,,North Carolina Central,7,
38,2,Sep 2 2017,Sat,Fresno State,66,,Incarnate Word,0,
39,2,Sep 2 2017,Sat,(15) Georgia,31,,Appalachian State,10,
40,2,Sep 2 2017,Sat,Hawaii,41,,Western Carolina,18,
41,2,Sep 2 2017,Sat,Howard,43,@,Nevada-Las Vegas,40,
42,2,Sep 2 2017,Sat,Illinois,24,,Ball State,21,
43,2,Sep 2 2017,Sat,Iowa,24,,Wyoming,3,
44,2,Sep 2 2017,Sat,Iowa State,42,,Northern Iowa,24,
45,2,Sep 2 2017,Sat,James Madison,34,@,East Carolina,14,
46,2,Sep 2 2017,Sat,Kansas,38,,Southeast Missouri State,16,
47,2,Sep 2 2017,Sat,(20) Kansas State,55,,Central Arkansas,19,
48,2,Sep 2 2017,Sat,Kentucky,24,@,Southern Mississippi,17,
49,2,Sep 2 2017,Sat,Liberty,48,@,Baylor,45,
50,2,Sep 2 2017,Sat,(13) Louisiana State,27,,Brigham Young,0,X
51,2,Sep 2 2017,Sat,Louisiana Tech,52,,Northwestern State,24,
52,2,Sep 2 2017,Sat,Louisiana-Lafayette,51,,Southeastern Louisiana,48,
53,2,Sep 2 2017,Sat,(16) Louisville,35,,Purdue,28,X
54,2,Sep 2 2017,Sat,Marshall,31,,Miami (OH),26,
55,2,Sep 2 2017,Sat,Maryland,51,@,(23) Texas,41,
56,2,Sep 2 2017,Sat,(18) Miami (FL),41,,Bethune-Cookman,13,
57,2,Sep 2 2017,Sat,(11) Michigan,33,,(17) Florida,17,X
58,2,Sep 2 2017,Sat,Michigan State,35,,Bowling Green State,10,
59,2,Sep 2 2017,Sat,Mississippi,47,,South Alabama,27,
60,2,Sep 2 2017,Sat,Mississippi State,49,,Charleston Southern,0,
61,2,Sep 2 2017,Sat,Missouri,72,,Missouri State,43,
62,2,Sep 2 2017,Sat,Nebraska,43,,Arkansas State,36,
63,2,Sep 2 2017,Sat,New Mexico,38,,Abilene Christian,14,
64,2,Sep 2 2017,Sat,North Texas,59,,Lamar,14,
65,2,Sep 2 2017,Sat,Northwestern,31,,Nevada,20,
66,2,Sep 2 2017,Sat,Notre Dame,49,,Temple,16,
67,2,Sep 2 2017,Sat,Ohio,59,,Hampton,0,
68,2,Sep 2 2017,Sat,(7) Oklahoma,56,,Texas-El Paso,7,
69,2,Sep 2 2017,Sat,(10) Oklahoma State,59,,Tulsa,24,
70,2,Sep 2 2017,Sat,Old Dominion,31,,Albany,17,
71,2,Sep 2 2017,Sat,Oregon,77,,Southern Utah,21,
72,2,Sep 2 2017,Sat,Oregon State,35,,Portland State,32,
73,2,Sep 2 2017,Sat,(6) Penn State,52,,Akron,0,
74,2,Sep 2 2017,Sat,Pittsburgh,28,,Youngstown State,21,
75,2,Sep 2 2017,Sat,San Diego State,38,,California-Davis,17,
76,2,Sep 2 2017,Sat,San Jose State,34,,Cal Poly,13,
77,2,Sep 2 2017,Sat,South Carolina,35,,North Carolina State,28,X
78,2,Sep 2 2017,Sat,(19) South Florida,31,,Stony Brook,17,
79,2,Sep 2 2017,Sat,(4) Southern California,49,,Western Michigan,31,
80,2,Sep 2 2017,Sat,Southern Methodist,58,,Stephen F. Austin,14,
81,2,Sep 2 2017,Sat,Texas Christian,63,,Jackson State,0,
82,2,Sep 2 2017,Sat,Texas State,20,,Houston Baptist,11,
83,2,Sep 2 2017,Sat,Texas Tech,56,,Eastern Washington,10,
84,2,Sep 2 2017,Sat,Tulane,43,,Grambling State,14,
85,2,Sep 2 2017,Sat,Vanderbilt,28,@,Middle Tennessee State,6,
86,2,Sep 2 2017,Sat,Virginia,28,,William & Mary,10,
87,2,Sep 2 2017,Sat,(24) Washington State,31,,Montana State,0,
88,2,Sep 2 2017,Sat,Western Kentucky,31,,Eastern Kentucky,17,
89,2,Sep 3 2017,Sun,UCLA,45,,Texas A&M,44,
90,2,Sep 3 2017,Sun,(21) Virginia Tech,31,,(22) West Virginia,24,X
91,2,Sep 4 2017,Mon,(25) Tennessee,42,,Georgia Tech,41,X
