Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
1,1,Aug 25 2018,Sat,Hawaii,43,@,Colorado State,34,,,
2,1,Aug 25 2018,Sat,Massachusetts,63,,Duquesne,15,,,
3,1,Aug 25 2018,Sat,Rice,31,,Prairie View A&M,28,,,
4,1,Aug 25 2018,Sat,Wyoming,29,@,New Mexico State,7,,,
5,2,Aug 30 2018,Thu,Alabama-Birmingham,52,,Savannah State,0,,,
6,2,Aug 30 2018,Thu,Ball State,42,,Central Connecticut State,6,,,
7,2,Aug 30 2018,Thu,California-Davis,44,@,San Jose State,38,,,
8,2,Aug 30 2018,Thu,(21) Central Florida,56,@,Connecticut,17,,,
9,2,Aug 30 2018,Thu,Georgia State,24,,Kennesaw State,20,,,
10,2,Aug 30 2018,Thu,Louisiana-Monroe,34,,Southeastern Louisiana,31,,,
11,2,Aug 30 2018,Thu,Minnesota,48,,New Mexico State,10,,,
12,2,Aug 30 2018,Thu,Northwestern,31,@,Purdue,27,,,
13,2,Aug 30 2018,Thu,Oklahoma State,58,,Missouri State,17,,,
14,2,Aug 30 2018,Thu,Texas A&M,59,,Northwestern State,7,,,
15,2,Aug 30 2018,Thu,Utah,41,,Weber State,10,,,
16,2,Aug 30 2018,Thu,Wake Forest,23,@,Tulane,17,,,
17,2,Aug 31 2018,Fri,Colorado,45,,Colorado State,13,X,,
18,2,Aug 31 2018,Fri,Duke,34,,Army,14,,,
19,2,Aug 31 2018,Fri,Eastern Michigan,51,,Monmouth,17,,,
20,2,Aug 31 2018,Fri,(11) Michigan State,38,,Utah State,31,,,
21,2,Aug 31 2018,Fri,Nevada,72,,Portland State,19,,,
22,2,Aug 31 2018,Fri,(13) Stanford,31,,San Diego State,10,,,
23,2,Aug 31 2018,Fri,Syracuse,55,@,Western Michigan,42,,,
24,2,Aug 31 2018,Fri,(4) Wisconsin,34,,Western Kentucky,3,,,
25,2,Sep 1 2018,Sat,Air Force,38,,Stony Brook,0,,,
26,2,Sep 1 2018,Sat,(1) Alabama,51,,Louisville,14,X,,
27,2,Sep 1 2018,Sat,Arizona State,49,,Texas-San Antonio,7,,,
28,2,Sep 1 2018,Sat,Arkansas,55,,Eastern Illinois,20,,,
29,2,Sep 1 2018,Sat,Arkansas State,48,,Southeast Missouri State,21,,,
30,2,Sep 1 2018,Sat,(9) Auburn,21,,(6) Washington,16,X,,
31,2,Sep 1 2018,Sat,Baylor,55,,Abilene Christian,27,,,
32,2,Sep 1 2018,Sat,(22) Boise State,56,@,Troy,20,,,
33,2,Sep 1 2018,Sat,Boston College,55,,Massachusetts,21,,,
34,2,Sep 1 2018,Sat,Brigham Young,28,@,Arizona,23,,,
35,2,Sep 1 2018,Sat,Buffalo,48,,Delaware State,10,,,
36,2,Sep 1 2018,Sat,California,24,,North Carolina,17,,,
37,2,Sep 1 2018,Sat,Charlotte,34,,Fordham,10,,,
38,2,Sep 1 2018,Sat,Cincinnati,26,@,UCLA,17,,,
39,2,Sep 1 2018,Sat,(2) Clemson,48,,Furman,7,,,
40,2,Sep 1 2018,Sat,Florida,53,,Charleston Southern,6,,,
41,2,Sep 1 2018,Sat,Fresno State,79,,Idaho,13,,,
42,2,Sep 1 2018,Sat,(3) Georgia,45,,Austin Peay,0,,,
43,2,Sep 1 2018,Sat,Georgia Southern,37,,South Carolina State,6,,,
44,2,Sep 1 2018,Sat,Georgia Tech,41,,Alcorn State,0,,,
45,2,Sep 1 2018,Sat,Hawaii,59,,Navy,41,,,
46,2,Sep 1 2018,Sat,Houston,45,@,Rice,27,,,
47,2,Sep 1 2018,Sat,Illinois,31,,Kent State,24,,,
48,2,Sep 1 2018,Sat,Indiana,38,@,Florida International,28,,,
49,2,Sep 1 2018,Sat,Iowa,33,,Northern Illinois,7,,,
50,2,Sep 1 2018,Sat,Kansas State,27,,South Dakota,24,,,
51,2,Sep 1 2018,Sat,Kentucky,35,,Central Michigan,20,,,
52,2,Sep 1 2018,Sat,Liberty,52,,Old Dominion,10,,,
53,2,Sep 1 2018,Sat,Louisiana,49,,Grambling State,17,,,
54,2,Sep 1 2018,Sat,Louisiana Tech,30,@,South Alabama,26,,,
55,2,Sep 1 2018,Sat,Marshall,35,@,Miami (OH),28,,,
56,2,Sep 1 2018,Sat,Maryland,34,,(23) Texas,29,X,,
57,2,Sep 1 2018,Sat,Memphis,66,,Mercer,14,,,
58,2,Sep 1 2018,Sat,Mississippi,47,,Texas Tech,27,,,
59,2,Sep 1 2018,Sat,(18) Mississippi State,63,,Stephen F. Austin,6,X,,
60,2,Sep 1 2018,Sat,Missouri,51,,Tennessee-Martin,14,,,
61,2,Sep 1 2018,Sat,New Mexico,62,,Incarnate Word,30,,,
62,2,Sep 1 2018,Sat,Nicholls State,26,@,Kansas,23,,,
63,2,Sep 1 2018,Sat,North Carolina State,24,,James Madison,13,,,
64,2,Sep 1 2018,Sat,North Texas,46,,Southern Methodist,23,,,
65,2,Sep 1 2018,Sat,Northern Arizona,30,@,Texas-El Paso,10,,,
66,2,Sep 1 2018,Sat,(12) Notre Dame,24,,(14) Michigan,17,,,
67,2,Sep 1 2018,Sat,Ohio,38,,Howard,32,,,
68,2,Sep 1 2018,Sat,(5) Ohio State,77,,Oregon State,31,,,
69,2,Sep 1 2018,Sat,(7) Oklahoma,63,,Florida Atlantic,14,,,
70,2,Sep 1 2018,Sat,(24) Oregon,58,,Bowling Green State,24,,,
71,2,Sep 1 2018,Sat,(10) Penn State,45,,Appalachian State,38,,,
72,2,Sep 1 2018,Sat,Pittsburgh,33,,Albany,7,,,
73,2,Sep 1 2018,Sat,Rutgers,35,,Texas State,7,,,
74,2,Sep 1 2018,Sat,South Carolina,49,,Coastal Carolina,15,,,
75,2,Sep 1 2018,Sat,South Florida,34,,Elon,14,,,
76,2,Sep 1 2018,Sat,(15) Southern California,43,,Nevada-Las Vegas,21,,,
77,2,Sep 1 2018,Sat,Southern Mississippi,55,,Jackson State,7,,,
78,2,Sep 1 2018,Sat,(16) Texas Christian,55,,Southern,7,,,
79,2,Sep 1 2018,Sat,Toledo,66,,Virginia Military Institute,3,,,
80,2,Sep 1 2018,Sat,Tulsa,38,,Central Arkansas,27,,,
81,2,Sep 1 2018,Sat,Vanderbilt,35,,Middle Tennessee State,7,,,
82,2,Sep 1 2018,Sat,Villanova,19,@,Temple,17,,,
83,2,Sep 1 2018,Sat,Virginia,42,,Richmond,13,,,
84,2,Sep 1 2018,Sat,Washington State,41,@,Wyoming,19,,,
85,2,Sep 1 2018,Sat,(17) West Virginia,40,,Tennessee,14,X,,
86,2,Sep 2 2018,Sun,(25) Louisiana State,33,,(8) Miami (FL),17,X,,
87,2,Sep 2 2018,Sun,North Carolina A&T,28,@,East Carolina,23,,,
88,2,Sep 3 2018,Mon,(20) Virginia Tech,24,@,(19) Florida State,3,,,
89,3,Sep 7 2018,Fri,(16) Texas Christian,42,@,Southern Methodist,12,,,
90,3,Sep 8 2018,Sat,Akron,41,,Morgan State,7,,,
91,3,Sep 8 2018,Sat,(1) Alabama,57,,Arkansas State,7,,,
92,3,Sep 8 2018,Sat,Appalachian State,45,@,Charlotte,9,,,
93,3,Sep 8 2018,Sat,Arizona State,16,,(15) Michigan State,13,,,
94,3,Sep 8 2018,Sat,Army,38,,Liberty,14,,,
95,3,Sep 8 2018,Sat,(7) Auburn,63,,Alabama State,9,,,
96,3,Sep 8 2018,Sat,Baylor,37,@,Texas-San Antonio,20,,,
97,3,Sep 8 2018,Sat,(20) Boise State,62,,Connecticut,7,,,
98,3,Sep 8 2018,Sat,Boston College,62,,Holy Cross,14,,,
99,3,Sep 8 2018,Sat,Buffalo,36,@,Temple,29,,,
100,3,Sep 8 2018,Sat,California,21,@,Brigham Young,18,,,
101,3,Sep 8 2018,Sat,(19) Central Florida,38,,South Carolina State,0,,,
102,3,Sep 8 2018,Sat,Cincinnati,21,@,Miami (OH),0,X,,
