"Team","Wins","Losses","Distribution"
"Indiana","11","0","0.0145148145844169"
"Texas Tech","10","1","0.0136232334195137"
"Ohio State","10","0","0.0125258232332697"
"Utah","8","2","0.0117117462762453"
"Notre Dame","8","2","0.0114780343836466"
"Oregon","9","1","0.0114522789769009"
"Georgia","9","1","0.010940956950761"
"Mississippi","10","1","0.0108980670181103"
"Miami (FL)","8","2","0.0105629095768749"
"Alabama","8","2","0.0105392062630035"
"Texas A&M","10","0","0.0105064536177027"
"Southern California","8","2","0.0103050313850234"
"Brigham Young","9","1","0.0101643291387563"
"Iowa","6","4","0.0101481628243271"
"Oklahoma","8","2","0.00993218240738204"
"Vanderbilt","8","2","0.00967211841568557"
"Texas","7","3","0.00922665117410956"
"Washington","7","3","0.00912747455609071"
"Penn State","4","6","0.00907433450904423"
"Michigan","8","2","0.00905079508807178"
"Missouri","7","3","0.00903142248579526"
"Tennessee","7","3","0.00902921692537279"
"Florida State","5","5","0.00897320492018783"
"Virginia","9","2","0.00892365983074044"
"Illinois","7","3","0.00879852685879664"
"South Florida","7","3","0.00866891152575347"
"Arizona","7","3","0.00861094351252287"
"Auburn","4","6","0.00856176419080576"
"Louisiana State","6","4","0.0084438582402384"
"Mississippi State","5","6","0.00836425249592532"
"North Texas","9","1","0.00828852941815944"
"Memphis","8","3","0.00818716949307496"
"Pittsburgh","7","3","0.00817506866876413"
"Nebraska","7","3","0.00811934326358325"
"James Madison","9","1","0.00811677438612351"
"Iowa State","6","4","0.00809766837906195"
"Louisville","7","3","0.00809497437171031"
"Southern Methodist","7","3","0.00808184289951739"
"Kentucky","5","5","0.00803811680116655"
"Florida","3","7","0.00799963697135432"
"Arizona State","7","3","0.0079904703493833"
"South Carolina","3","7","0.00796280770373714"
"Cincinnati","7","3","0.00795702066847064"
"Kansas State","5","5","0.00795024213662172"
"Arkansas","2","8","0.00788886171825138"
"Georgia Tech","9","1","0.00761467471127244"
"Texas Christian","6","4","0.00759529690718118"
"Kansas","5","5","0.0075829542480299"
"Clemson","5","5","0.00758052976442022"
"East Carolina","7","3","0.00755228959408591"
"Houston","8","2","0.00753350591559617"
"Northwestern","5","5","0.00743322002607641"
"Baylor","5","5","0.0073070140613413"
"Toledo","6","4","0.00727358917227904"
"Purdue","2","9","0.00721298551539276"
"West Virginia","4","7","0.00719084226226563"
"Duke","5","5","0.00711664585162872"
"San Diego State","8","2","0.00710849937393737"
"Washington State","5","5","0.00705251824313024"
"Wisconsin","3","7","0.00704981393467495"
"North Carolina State","5","5","0.00699683829337667"
"Boise State","6","4","0.00699247304929208"
"Wake Forest","7","3","0.00696300427824711"
"Old Dominion","7","3","0.00692336985725325"
"Maryland","4","6","0.0068828999611828"
"Tulane","8","2","0.00687106285389243"
"Rutgers","5","5","0.00679142018769439"
"Connecticut","8","3","0.00675368903111896"
"Central Florida","4","6","0.00671760868987113"
"Michigan State","3","7","0.00662978123133685"
"New Mexico","7","3","0.00660392732800859"
"Minnesota","6","4","0.00658502831415083"
"UCLA","3","7","0.00657556274938199"
"Hawaii","7","3","0.00645124221229128"
"Nevada-Las Vegas","8","2","0.00642364238203545"
"Colorado","3","7","0.00642194277467723"
"Utah State","5","5","0.00636354508329404"
"Navy","8","2","0.00632803105767043"
"Texas-San Antonio","5","5","0.0062454976481618"
"Ohio","6","4","0.00619044187578354"
"Fresno State","7","3","0.00613409120838275"
"California","6","4","0.00607099376309668"
"Kennesaw State","7","3","0.0060673040392105"
"Virginia Tech","3","7","0.00606714129774283"
"Stanford","3","7","0.00601281116249287"
"Boston College","1","10","0.00594141299259331"
"Texas State","4","6","0.00591146341597086"
"Western Michigan","6","4","0.00590769500537362"
"Louisiana Tech","5","5","0.00584351282993256"
"Marshall","5","5","0.00582735543957804"
"Syracuse","3","7","0.00575850661958772"
"Oregon State","2","9","0.00573414325540852"
"Army","5","4","0.00571093878741348"
"Air Force","3","7","0.00561212295049183"
"Miami (OH)","5","5","0.00561068067595961"
"Temple","5","5","0.00560556187718847"
"Wyoming","4","6","0.00559598607185104"
